Outlet_ID,Latitude,Longitude,failure_reason
OUT_06896,79.922254,6.81352,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07029,79.946862,6.830169,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07165,79.807929,7.160943,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07259,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07345,80.065909,6.927225,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07625,80.021488,7.064269,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_07867,79.809723,7.008016,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08149,79.952261,6.954324,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08238,79.812443,6.995698,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08291,80.068737,7.040396,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08483,79.89557,7.0815,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08540,79.814554,7.094443,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08564,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08603,80.00062,6.705537,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08606,79.959956,7.115494,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08607,79.894336,6.741946,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08644,79.850486,7.052507,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08710,79.987719,6.738147,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08723,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08764,79.976643,6.84386,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08958,79.848957,6.946977,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08990,79.80903,7.110328,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_08991,79.879761,7.154464,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09001,80.633632,7.380964,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09014,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09045,80.772614,6.97079,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09287,80.627526,6.891136,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09338,80.625117,6.862993,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09405,80.625324,6.835534,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09522,80.725904,7.186353,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09675,80.755013,7.022115,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09785,80.590153,7.149762,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09945,80.710374,7.340111,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_09953,80.667359,7.157322,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10000,80.621165,7.055471,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10142,80.719144,7.449515,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10177,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10229,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10410,80.778538,7.368221,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10416,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10422,80.684072,7.070194,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10433,80.50926,7.03051,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10479,80.582101,7.39116,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10496,80.524955,7.091213,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10503,80.558835,7.097746,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10524,80.518072,7.020977,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10530,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10609,80.661246,6.824893,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10753,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_10870,80.578892,6.983927,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11008,80.748129,7.316884,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11142,80.657996,7.423616,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11145,80.519416,7.161362,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11157,80.504191,7.399178,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11263,80.50742,7.148075,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11307,80.582366,7.368652,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11312,80.505945,7.464951,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11368,80.59526,6.98942,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11463,80.604406,7.020562,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11553,80.544706,7.485782,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11587,80.624961,6.91095,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11877,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11878,80.547942,7.19405,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_11980,80.564345,6.893341,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12014,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12104,80.581609,7.401874,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12331,80.614064,6.92292,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12440,80.792317,7.2876,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12565,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12751,80.674206,7.348103,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_12997,80.555528,6.988229,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13098,80.211781,7.802834,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13140,80.28742,7.730532,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13300,80.238538,7.940422,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13327,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13567,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13598,79.886,7.594441,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13608,80.076774,7.576446,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13619,79.869834,7.874934,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13849,79.977297,7.5559,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13976,79.889315,8.059973,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_13998,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14176,79.883921,7.972203,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14187,80.185205,7.422683,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14244,79.994693,7.643072,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14462,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14509,80.102728,7.814783,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14564,79.936145,7.798925,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14686,80.100514,7.987601,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14711,80.017237,7.456649,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14745,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14778,79.997259,8.076372,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_14931,79.812518,7.890874,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15136,80.01065,7.599601,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15204,80.232645,7.916972,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15211,80.0142,7.929897,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15238,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15245,79.976947,7.7668,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15280,80.156432,7.477079,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15553,80.231143,7.405581,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15601,79.925382,7.497402,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15606,79.924856,7.50512,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15630,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15699,80.17582,7.489832,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15726,80.133702,7.412479,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15915,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_15929,80.170972,7.667073,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16073,80.062599,7.461419,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16166,79.978797,7.618816,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16187,80.18899,7.716195,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16192,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16347,80.266245,7.727684,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16360,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16446,79.944694,7.756351,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16524,79.932904,7.445818,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16547,80.161928,7.841732,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16622,80.110675,7.857708,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16765,80.071757,7.92421,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16825,79.816183,7.853555,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16906,80.264317,7.956348,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16912,80.203657,8.065284,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_16939,80.132071,7.721327,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17104,80.423683,5.973129,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17174,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17335,80.231599,5.97934,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17499,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17554,80.353347,5.958499,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17566,80.551138,6.055785,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17658,80.382843,5.94665,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17661,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17782,80.53414,6.050515,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17812,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17985,80.538653,5.988942,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_17997,80.340445,6.001896,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18213,80.464266,6.161693,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18254,80.322648,6.103513,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18356,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18436,80.404534,6.107686,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18501,80.559474,6.172749,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18566,80.512937,6.246072,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18634,80.395366,6.052797,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18683,80.516414,6.195823,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18878,80.234559,6.111299,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18927,80.474217,5.946848,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_18975,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19078,80.376595,6.015085,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19087,80.47578,6.045408,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19111,80.278704,6.213139,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19134,80.569635,6.221716,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19145,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19170,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19319,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19330,0.0,0.0,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19511,80.203438,6.294909,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19523,80.507599,6.276599,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19539,80.21905,5.97249,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19566,80.567471,6.225398,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19644,80.518262,6.018135,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19734,80.401239,6.251365,"Failed Range Check: Latitude outside [5.9, 9.9]"
OUT_19980,80.290325,6.032059,"Failed Range Check: Latitude outside [5.9, 9.9]"
