year_month,Distributor_ID,Seasonality_Index
2023-09,DIST_C_03,Moderate
2023-09,DIST_NW_01,Moderate
2023-10,DIST_W_02,Moderate
2023-10,DIST_W_01,Moderate
2023-10,DIST_C_03,Moderate
2023-10,DIST_NW_01,Moderate
2023-10,DIST_W_03,Moderate
2023-10,DIST_C_01,Moderate
2023-10,DIST_S_02,Moderate
2023-10,DIST_S_01,Moderate
2023-10,DIST_NW_02,Moderate
2023-10,DIST_C_02,Moderate
2023-11,DIST_C_01,Moderate
2023-11,DIST_S_01,Moderate
2023-11,DIST_C_03,Moderate
2023-11,DIST_W_01,Moderate
2023-11,DIST_NW_01,Moderate
2023-11,DIST_S_02,Moderate
2023-11,DIST_W_02,Moderate
2023-11,DIST_NW_02,Moderate
2023-11,DIST_W_03,Moderate
2023-11,DIST_C_02,Moderate
2023-12,DIST_NW_01,Favorable
2023-12,DIST_C_03,Favorable
2023-12,DIST_C_01,Favorable
2023-12,DIST_S_02,Favorable
2023-12,DIST_C_02,Favorable
2023-12,DIST_W_02,Favorable
2023-12,DIST_NW_02,Favorable
2023-12,DIST_W_01,Favorable
2023-12,DIST_S_01,Favorable
2023-12,DIST_W_03,Favorable
2024-01,DIST_W_01,Moderate
2024-01,DIST_NW_01,Moderate
2024-01,DIST_S_01,Favorable
2024-01,DIST_W_02,Moderate
2024-01,DIST_S_02,Favorable
2024-01,DIST_C_01,Moderate
2024-01,DIST_C_02,Moderate
2024-01,DIST_W_03,Moderate
2024-01,DIST_NW_02,Moderate
2024-01,DIST_C_03,Moderate
2024-02,DIST_S_02,Favorable
2024-02,DIST_NW_01,Moderate
2024-02,DIST_C_03,Moderate
2024-02,DIST_S_01,Favorable
2024-02,DIST_W_03,Moderate
2024-02,DIST_C_01,Moderate
2024-02,DIST_NW_02,Moderate
2024-02,DIST_W_02,Moderate
2024-02,DIST_W_01,Moderate
2024-02,DIST_C_02,Moderate
2024-03,DIST_C_02,Moderate
2024-03,DIST_W_01,Moderate
2024-03,DIST_NW_01,Moderate
2024-03,DIST_NW_02,Moderate
2024-03,DIST_S_02,Moderate
2024-03,DIST_W_02,Moderate
2024-03,DIST_W_03,Moderate
2024-03,DIST_C_01,Moderate
2024-03,DIST_C_03,Moderate
2024-03,DIST_S_01,Moderate
2024-04,DIST_S_02,Favorable
2024-04,DIST_W_02,Favorable
2024-04,DIST_W_03,Favorable
2024-04,DIST_C_02,Favorable
2024-04,DIST_NW_02,Favorable
2024-04,DIST_S_01,Favorable
2024-04,DIST_C_03,Favorable
2024-04,DIST_C_01,Favorable
2024-04,DIST_W_01,Favorable
2024-04,DIST_NW_01,Favorable
2024-05,DIST_C_01,Moderate
2024-05,DIST_S_02,Un-Favorable
2024-05,DIST_S_01,Un-Favorable
2024-05,DIST_W_01,Un-Favorable
2024-05,DIST_NW_01,Moderate
2024-05,DIST_NW_02,Moderate
2024-05,DIST_C_02,Moderate
2024-05,DIST_C_03,Moderate
2024-05,DIST_W_03,Un-Favorable
2024-05,DIST_W_02,Un-Favorable
2024-06,DIST_NW_01,Moderate
2024-06,DIST_C_03,Moderate
2024-06,DIST_NW_02,Moderate
2024-06,DIST_C_01,Moderate
2024-06,DIST_S_01,Un-Favorable
2024-06,DIST_W_02,Un-Favorable
2024-06,DIST_C_02,Moderate
2024-06,DIST_S_02,Un-Favorable
2024-06,DIST_W_03,Un-Favorable
2024-06,DIST_W_01,Un-Favorable
2024-07,DIST_W_03,Moderate
2024-07,DIST_NW_02,Moderate
2024-07,DIST_W_02,Moderate
2024-07,DIST_C_02,Moderate
2024-07,DIST_NW_01,Moderate
2024-07,DIST_C_03,Moderate
2024-07,DIST_W_01,Moderate
2024-07,DIST_S_01,Moderate
2024-07,DIST_C_01,Moderate
2024-07,DIST_S_02,Moderate
2024-08,DIST_S_02,Moderate
2024-08,DIST_W_02,Moderate
2024-08,DIST_C_03,Favorable
2024-08,DIST_S_01,Moderate
2024-08,DIST_NW_02,Moderate
2024-08,DIST_NW_01,Moderate
2024-08,DIST_W_03,Moderate
2024-08,DIST_W_01,Moderate
2024-08,DIST_C_02,Favorable
2024-08,DIST_C_01,Favorable
2024-09,DIST_NW_01,Moderate
2024-09,DIST_NW_02,Moderate
2024-09,DIST_W_01,Moderate
2024-09,DIST_C_01,Moderate
2024-09,DIST_C_03,Moderate
2024-09,DIST_W_03,Moderate
2024-09,DIST_W_02,Moderate
2024-09,DIST_S_01,Moderate
2024-09,DIST_S_02,Moderate
2024-09,DIST_C_02,Moderate
2024-10,DIST_W_03,Moderate
2024-10,DIST_W_02,Moderate
2024-10,DIST_NW_02,Moderate
2024-10,DIST_S_02,Moderate
2024-10,DIST_C_03,Moderate
2024-10,DIST_S_01,Moderate
2024-10,DIST_C_01,Moderate
2024-10,DIST_C_02,Moderate
2024-10,DIST_NW_01,Moderate
2024-10,DIST_W_01,Moderate
2024-11,DIST_NW_01,Moderate
2024-11,DIST_S_02,Moderate
2024-11,DIST_C_01,Moderate
2024-11,DIST_W_03,Moderate
2024-11,DIST_NW_02,Moderate
2024-11,DIST_W_01,Moderate
2024-11,DIST_C_02,Moderate
2024-11,DIST_W_02,Moderate
2024-11,DIST_C_03,Moderate
2024-11,DIST_S_01,Moderate
2024-12,DIST_W_02,Favorable
2024-12,DIST_C_02,Favorable
2024-12,DIST_NW_02,Favorable
2024-12,DIST_C_01,Favorable
2024-12,DIST_C_03,Favorable
2024-12,DIST_S_01,Favorable
2024-12,DIST_W_01,Favorable
2024-12,DIST_W_03,Favorable
2024-12,DIST_NW_01,Favorable
2024-12,DIST_S_02,Favorable
2025-01,DIST_W_01,Moderate
2025-01,DIST_S_02,Favorable
2025-01,DIST_W_02,Moderate
2025-01,DIST_C_02,Moderate
2025-01,DIST_S_01,Favorable
2025-01,DIST_C_03,Moderate
2025-01,DIST_C_01,Moderate
2025-01,DIST_NW_02,Moderate
2025-01,DIST_NW_01,Moderate
2025-01,DIST_W_03,Moderate
2025-02,DIST_S_01,Favorable
2025-02,DIST_NW_02,Moderate
2025-02,DIST_S_02,Favorable
2025-02,DIST_W_01,Moderate
2025-02,DIST_C_01,Moderate
2025-02,DIST_C_02,Moderate
2025-02,DIST_W_03,Moderate
2025-02,DIST_NW_01,Moderate
2025-02,DIST_C_03,Moderate
2025-02,DIST_W_02,Moderate
2025-03,DIST_NW_02,Moderate
2025-03,DIST_S_01,Moderate
2025-03,DIST_C_02,Moderate
2025-03,DIST_S_02,Moderate
2025-03,DIST_W_03,Moderate
2025-03,DIST_C_03,Moderate
2025-03,DIST_W_02,Moderate
2025-03,DIST_C_01,Moderate
2025-03,DIST_W_01,Moderate
2025-03,DIST_NW_01,Moderate
2025-04,DIST_W_02,Favorable
2025-04,DIST_NW_01,Favorable
2025-04,DIST_S_01,Favorable
2025-04,DIST_NW_02,Favorable
2025-04,DIST_C_01,Favorable
2025-04,DIST_S_02,Favorable
2025-04,DIST_C_02,Favorable
2025-04,DIST_W_01,Favorable
2025-04,DIST_W_03,Favorable
2025-04,DIST_C_03,Favorable
2025-05,DIST_W_03,Un-Favorable
2025-05,DIST_C_02,Moderate
2025-05,DIST_S_02,Un-Favorable
2025-05,DIST_W_01,Un-Favorable
2025-05,DIST_S_01,Un-Favorable
2025-05,DIST_C_01,Moderate
2025-05,DIST_W_02,Un-Favorable
2025-05,DIST_NW_01,Moderate
2025-05,DIST_NW_02,Moderate
2025-05,DIST_C_03,Moderate
2025-06,DIST_C_03,Moderate
2025-06,DIST_C_01,Moderate
2025-06,DIST_W_03,Un-Favorable
2025-06,DIST_W_01,Un-Favorable
2025-06,DIST_S_02,Un-Favorable
2025-06,DIST_S_01,Un-Favorable
2025-06,DIST_W_02,Un-Favorable
2025-06,DIST_NW_01,Moderate
2025-06,DIST_C_02,Moderate
2025-06,DIST_NW_02,Moderate
2025-07,DIST_W_03,Moderate
2025-07,DIST_W_02,Moderate
2025-07,DIST_W_01,Moderate
2025-07,DIST_S_01,Moderate
2025-07,DIST_C_02,Moderate
2025-07,DIST_NW_01,Moderate
2025-07,DIST_C_03,Moderate
2025-07,DIST_C_01,Moderate
2025-07,DIST_NW_02,Moderate
2025-07,DIST_S_02,Moderate
2025-08,DIST_W_01,Moderate
2025-08,DIST_C_03,Favorable
2025-08,DIST_W_02,Moderate
2025-08,DIST_NW_02,Moderate
2025-08,DIST_S_01,Moderate
2025-08,DIST_NW_01,Moderate
2025-08,DIST_S_02,Moderate
2025-08,DIST_C_01,Favorable
2025-08,DIST_C_02,Favorable
2025-08,DIST_W_03,Moderate
2025-09,DIST_W_01,Moderate
2025-09,DIST_NW_02,Moderate
2025-09,DIST_NW_01,Moderate
2025-09,DIST_S_01,Moderate
2025-09,DIST_C_03,Moderate
2025-09,DIST_C_01,Moderate
2025-09,DIST_C_02,Moderate
2025-09,DIST_S_02,Moderate
2025-09,DIST_W_02,Moderate
2025-09,DIST_W_03,Moderate
2025-10,DIST_NW_01,Moderate
2025-10,DIST_S_02,Moderate
2025-10,DIST_W_03,Moderate
2025-10,DIST_NW_02,Moderate
2025-10,DIST_C_02,Moderate
2025-10,DIST_C_01,Moderate
2025-10,DIST_W_01,Moderate
2025-10,DIST_S_01,Moderate
2025-10,DIST_C_03,Moderate
2025-10,DIST_W_02,Moderate
2025-11,DIST_C_03,Moderate
2025-11,DIST_W_02,Moderate
2025-11,DIST_S_02,Moderate
2025-11,DIST_C_02,Moderate
2025-11,DIST_S_01,Moderate
2025-11,DIST_NW_02,Moderate
2025-11,DIST_C_01,Moderate
2025-11,DIST_W_03,Moderate
2025-11,DIST_W_01,Moderate
2025-11,DIST_NW_01,Moderate
2025-12,DIST_C_02,Favorable
2025-12,DIST_NW_02,Favorable
2025-12,DIST_NW_01,Favorable
2025-12,DIST_C_03,Favorable
2025-12,DIST_C_01,Favorable
2025-12,DIST_W_03,Favorable
2025-12,DIST_W_02,Favorable
2025-12,DIST_W_01,Favorable
2025-12,DIST_S_01,Favorable
2025-12,DIST_S_02,Favorable
