Date,Holiday_Name,Holiday_Type
2023-02-05,Navam Full Moon Poya Day,Mercantile
2023-02-05,Navam Full Moon Poya Day,Public
2023-02-05,Navam Full Moon Poya Day,Poya Day
2023-03-06,Medin Full Moon Poya Day,Bank
2023-03-06,Medin Full Moon Poya Day,Mercantile
2023-03-06,Medin Full Moon Poya Day,Public
2023-03-06,Medin Full Moon Poya Day,Poya Day
2023-03-06,Medin Full Moon Poya Day,Poya Day
2023-03-06,Medin Full Moon Poya Day,Bank
2023-03-06,Medin Full Moon Poya Day,Public
2023-03-06,Medin Full Moon Poya Day,Mercantile
2023-04-05,Bak Full Moon Poya Day,Mercantile
2023-04-05,Bak Full Moon Poya Day,Bank
2023-04-05,Bak Full Moon Poya Day,Public
2023-04-05,Bak Full Moon Poya Day,Mercantile
2023-04-05,Bak Full Moon Poya Day,Poya Day
2023-04-05,Bak Full Moon Poya Day,Poya Day
2023-04-05,Bak Full Moon Poya Day,Bank
2023-04-05,Bak Full Moon Poya Day,Public
2023-04-07,Good Friday,Mercantile
2023-04-07,Good Friday,Public
2023-04-07,Good Friday,Bank
2023-04-07,Good Friday,Bank
2023-04-07,Good Friday,Mercantile
2023-04-07,Good Friday,Public
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Mercantile
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Mercantile
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Bank
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Public
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Bank
2023-04-13,Day Prior to Sinhala and Tamil New Year Day,Public
2023-04-14,Sinhala and Tamil New Year Day,Public
2023-04-14,Sinhala and Tamil New Year Day,Mercantile
2023-04-14,Sinhala and Tamil New Year Day,Mercantile
2023-04-14,Sinhala and Tamil New Year Day,Bank
2023-04-14,Sinhala and Tamil New Year Day,Public
2023-04-14,Sinhala and Tamil New Year Day,Bank
2023-05-01,Labour Day,Public
2023-05-01,Labour Day,Bank
2023-05-01,Labour Day,Public
2023-05-01,Labour Day,Mercantile
2023-05-01,Labour Day,Mercantile
2023-05-01,Labour Day,Bank
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full  Moon Poya Day falling on Saturday,Public
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full Moon Poya Day falling on Saturday,Bank
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full Moon Poya Day falling on Saturday,Public
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full  Moon Poya Day falling on Saturday,Mercantile
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full Moon Poya Day falling on Saturday,Mercantile
2023-05-04,Additional Half Holiday in lieu of  Day following Vesak Full  Moon Poya Day falling on Saturday,Bank
2023-05-05,Vesak Full Moon Poya Day,Bank
2023-05-05,Vesak Full Moon Poya Day,Mercantile
2023-05-05,Vesak Full Moon Poya Day,Poya Day
2023-05-05,Vesak Full Moon Poya Day,Bank
2023-05-05,Vesak Full Moon Poya Day,Poya Day
2023-05-05,Vesak Full Moon Poya Day,Public
2023-05-05,Vesak Full Moon Poya Day,Public
2023-05-05,Vesak Full Moon Poya Day,Mercantile
2023-05-06,Day after Vesak Full Moon Poya Day,Bank
2023-05-06,Day after Vesak Full Moon Poya Day,Public
2023-05-06,Day after Vesak Full Moon Poya Day,Mercantile
2023-05-06,Day after Vesak Full Moon Poya Day,Bank
2023-05-06,Day after Vesak Full Moon Poya Day,Mercantile
2023-05-06,Day after Vesak Full Moon Poya Day,Public
2023-06-03,Poson Full Moon Poya Day,Bank
2023-06-03,Poson Full Moon Poya Day,Mercantile
2023-06-03,Poson Full Moon Poya Day,Poya Day
2023-06-03,Poson Full Moon Poya Day,Poya Day
2023-06-03,Poson Full Moon Poya Day,Public
2023-06-03,Poson Full Moon Poya Day,Mercantile
2023-06-03,Poson Full Moon Poya Day,Bank
2023-06-03,Poson Full Moon Poya Day,Public
2023-07-03,Adi Esala Full Moon Poya Day,Poya Day
2023-07-03,Adi Esala Full Moon Poya Day,Public
2023-07-03,Adi Esala Full Moon Poya Day,Bank
2023-07-03,Adi Esala Full Moon Poya Day,Poya Day
2023-07-03,Adi Esala Full Moon Poya Day,Mercantile
2023-07-03,Adi Esala Full Moon Poya Day,Bank
2023-07-03,Adi Esala Full Moon Poya Day,Public
2023-07-03,Adi Esala Full Moon Poya Day,Mercantile
2023-08-01,Esala Full Moon Poya Day,Mercantile
2023-08-01,Esala Full Moon Poya Day,Public
2023-08-01,Esala Full Moon Poya Day,Poya Day
2023-08-01,Esala Full Moon Poya Day,Bank
2023-08-01,Esala Full Moon Poya Day,Bank
2023-08-01,Esala Full Moon Poya Day,Poya Day
2023-08-01,Esala Full Moon Poya Day,Mercantile
2023-08-01,Esala Full Moon Poya Day,Public
2023-08-30,Nikini Full Moon Poya Day,Bank
2023-08-30,Nikini Full Moon Poya Day,Mercantile
2023-08-30,Nikini Full Moon Poya Day,Poya Day
2023-08-30,Nikini Full Moon Poya Day,Poya Day
2023-08-30,Nikini Full Moon Poya Day,Public
2023-08-30,Nikini Full Moon Poya Day,Public
2023-08-30,Nikini Full Moon Poya Day,Bank
2023-08-30,Nikini Full Moon Poya Day,Mercantile
2023-09-28,Holy Prophet's Birthday,Public
2023-09-28,Holy Prophet's Birthday,Bank
2023-09-28,Holy Prophet's Birthday,Bank
2023-09-28,Holy Prophet's Birthday,Mercantile
2023-09-28,Holy Prophet's Birthday,Public
2023-09-28,Holy Prophet's Birthday,Mercantile
2023-09-29,Binara Full Moon Poya Day,Public
2023-09-29,Binara Full Moon Poya Day,Bank
2023-09-29,Binara Full Moon Poya Day,Poya Day
2023-09-29,Binara Full Moon Poya Day,Mercantile
2023-09-29,Binara Full Moon Poya Day,Bank
2023-09-29,Binara Full Moon Poya Day,Public
2023-09-29,Binara Full Moon Poya Day,Poya Day
2023-09-29,Binara Full Moon Poya Day,Mercantile
2023-10-28,Vap Full Moon Poya Day,Poya Day
2023-10-28,Vap Full Moon Poya Day,Bank
2023-10-28,Vap Full Moon Poya Day,Bank
2023-10-28,Vap Full Moon Poya Day,Public
2023-10-28,Vap Full Moon Poya Day,Poya Day
2023-10-28,Vap Full Moon Poya Day,Mercantile
2023-10-28,Vap Full Moon Poya Day,Mercantile
2023-10-28,Vap Full Moon Poya Day,Public
2023-11-26,Il Full Moon Poya Day,Mercantile
2023-11-26,Il Full Moon Poya Day,Bank
2023-11-26,Il Full Moon Poya Day,Mercantile
2023-11-26,Il Full Moon Poya Day,Poya Day
2023-11-26,Il Full Moon Poya Day,Public
2023-11-26,Il Full Moon Poya Day,Bank
2023-11-26,Il Full Moon Poya Day,Poya Day
2023-11-26,Il Full Moon Poya Day,Public
2023-12-25,Christmas Day,Bank
2023-12-25,Christmas Day,Mercantile
2023-12-25,Christmas Day,Public
2023-12-25,Christmas Day,Mercantile
2023-12-25,Christmas Day,Public
2023-12-25,Christmas Day,Bank
2023-12-26,Unduvap Full Moon Poya Day,Public
2023-12-26,Unduvap Full Moon Poya Day,Poya Day
2023-12-26,Unduvap Full Moon Poya Day,Public
2023-12-26,Unduvap Full Moon Poya Day,Mercantile
2023-12-26,Unduvap Full Moon Poya Day,Mercantile
2023-12-26,Unduvap Full Moon Poya Day,Bank
2023-12-26,Unduvap Full Moon Poya Day,Bank
2023-12-26,Unduvap Full Moon Poya Day,Poya Day
2024-01-15,Tamil Thai Pongal Day,Public
2024-01-15,Tamil Thai Pongal Day,Mercantile
2024-01-15,Tamil Thai Pongal Day,Bank
2024-01-25,Duruthu Full Moon Poya Day,Public
2024-01-25,Duruthu Full Moon Poya Day,Poya Day
2024-01-25,Duruthu Full Moon Poya Day,Mercantile
2024-01-25,Duruthu Full Moon Poya Day,Bank
2024-02-04,National Day,Public
2024-02-04,National Day,Bank
2024-02-04,National Day,Mercantile
2024-02-05,Additional Half Holiday in lieu of the Independence Day  falling on Sunday,Mercantile
2024-02-05,Additional Half Holiday in lieu of the Independence Day  falling on Sunday,Public
2024-02-05,Additional Half Holiday in lieu of the Independence Day  falling on Sunday,Bank
2024-02-23,Navam Full Moon Poya Day,Public
2024-02-23,Navam Full Moon Poya Day,Mercantile
2024-02-23,Navam Full Moon Poya Day,Poya Day
2024-02-23,Navam Full Moon Poya Day,Poya Day
2024-02-23,Navam Full Moon Poya Day,Bank
2024-03-08,Maha Shiva Rathri Day,Public
2024-03-08,Maha Shiva Rathri Day,Bank
2024-03-24,Medin Full Moon Poya Day,Bank
2024-03-24,Medin Full Moon Poya Day,Poya Day
2024-03-24,Medin Full Moon Poya Day,Public
2024-03-24,Medin Full Moon Poya Day,Mercantile
2024-03-24,Medin Full Moon Poya Day,Mercantile
2024-03-24,Medin Full Moon Poya Day,Bank
2024-03-24,Medin Full Moon Poya Day,Poya Day
2024-03-24,Medin Full Moon Poya Day,Public
2024-03-29,Good Friday,Bank
2024-03-29,Good Friday,Public
2024-03-29,Good Friday,Mercantile
2024-04-11,Ramazan Day,Public
2024-04-11,Ramazan Day,Bank
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Mercantile
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Bank
2024-04-13,Day Prior to Sinhala and Tamil New Year Day,Public
2024-04-14,Sinhala and Tamil New Year Day,Public
2024-04-14,Sinhala and Tamil New Year Day,Bank
2024-04-14,Sinhala and Tamil New Year Day,Mercantile
2024-04-23,Bak Full Moon Poya Day,Public
2024-04-24,Bak Full Moon Poya Day,Poya Day
2024-04-24,Bak Full Moon Poya Day,Poya Day
2024-04-25,Bak Full Moon Poya Day,Bank
2024-04-26,Bak Full Moon Poya Day,Mercantile
2024-05-01,Labour Day,Bank
2024-05-01,Labour Day,Mercantile
2024-05-01,Labour Day,Public
2024-05-23,Vesak Full Moon Poya Day,Mercantile
2024-05-23,Vesak Full Moon Poya Day,Poya Day
2024-05-23,Vesak Full Moon Poya Day,Public
2024-05-23,Vesak Full Moon Poya Day,Bank
2024-05-23,Vesak Full Moon Poya Day,Poya Day
2024-05-24,Day after Vesak Full Moon Poya Day,Public
2024-05-24,Day after Vesak Full Moon Poya Day,Bank
2024-05-24,Day after Vesak Full Moon Poya Day,Mercantile
2024-06-17,Hajji Festival Day,Public
2024-06-17,Hajji Festival Day,Bank
2024-06-21,Poson Full Moon Poya Day,Poya Day
2024-06-21,Poson Full Moon Poya Day,Public
2024-06-21,Poson Full Moon Poya Day,Bank
2024-06-21,Poson Full Moon Poya Day,Mercantile
2024-07-20,Esala Full Moon Poya Day,Poya Day
2024-07-20,Esala Full Moon Poya Day,Mercantile
2024-07-20,Esala Full Moon Poya Day,Bank
2024-07-20,Esala Full Moon Poya Day,Public
2024-08-19,Nikini Full Moon Poya Day,Bank
2024-08-19,Nikini Full Moon Poya Day,Public
2024-08-19,Nikini Full Moon Poya Day,Mercantile
2024-08-19,Nikini Full Moon Poya Day,Poya Day
2024-09-16,Holy Prophet's Birthday,Mercantile
2024-09-16,Holy Prophet's Birthday,Public
2024-09-16,Holy Prophet's Birthday,Bank
2024-09-17,Binara Full Moon Poya Day,Bank
2024-09-17,Binara Full Moon Poya Day,Poya Day
2024-09-17,Binara Full Moon Poya Day,Public
2024-09-17,Binara Full Moon Poya Day,Poya Day
2024-09-17,Binara Full Moon Poya Day,Mercantile
2024-10-17,Vap Full Moon Poya Day,Public
2024-10-17,Vap Full Moon Poya Day,Mercantile
2024-10-17,Vap Full Moon Poya Day,Poya Day
2024-10-17,Vap Full Moon Poya Day,Bank
2024-10-31,Deepavali Day,Public
2024-10-31,Deepavali Day,Bank
2024-11-15,Il Full Moon Poya Day,Mercantile
2024-11-15,Il Full Moon Poya Day,Public
2024-11-15,Il Full Moon Poya Day,Poya Day
2024-11-15,Il Full Moon Poya Day,Bank
2024-12-14,Unduvap Full Moon Poya Day,Poya Day
2024-12-14,Unduvap Full Moon Poya Day,Mercantile
2024-12-14,Unduvap Full Moon Poya Day,Public
2024-12-14,Unduvap Full Moon Poya Day,Poya Day
2024-12-14,Unduvap Full Moon Poya Day,Bank
2024-12-25,Christmas Day,Public
2024-12-25,Christmas Day,Mercantile
2024-12-25,Christmas Day,Bank
2025-01-13,Duruthu Full Moon Poya Day,Public
2025-01-13,Duruthu Full Moon Poya Day,Poya Day
2025-01-13,Duruthu Full Moon Poya Day,Bank
2025-01-13,Duruthu Full Moon Poya Day,Mercantile
2025-01-14,Tamil Thai Pongal Day,Bank
2025-01-14,Tamil Thai Pongal Day,Mercantile
2025-01-14,Tamil Thai Pongal Day,Public
2025-02-04,lndependence Day,Bank
2025-02-04,lndependence Day,Public
2025-02-04,lndependence Day,Mercantile
2025-02-12,Navam Full Moon Poya Day,Bank
2025-02-12,Navam Full Moon Poya Day,Mercantile
2025-02-12,Navam Full Moon Poya Day,Poya Day
2025-02-12,Navam Full Moon Poya Day,Poya Day
2025-02-12,Navam Full Moon Poya Day,Public
2025-03-13,Madin Full Moon Poya Day,Bank
2025-03-13,Madin Full Moon Poya Day,Public
2025-03-13,Madin Full Moon Poya Day,Mercantile
2025-03-13,Madin Full Moon Poya Day,Poya Day
2025-04-12,Bak Full Moon Poya Day,Bank
2025-04-12,Bak Full Moon Poya Day,Public
2025-04-12,Bak Full Moon Poya Day,Mercantile
2025-04-12,Bak Full Moon Poya Day,Poya Day
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Mercantile
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Public
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Bank
2025-04-13,Day Prior to Sinhala & Tamil New Year Day,Poya Day
2025-04-14,Sinhala & Tamil New Year Day,Public
2025-04-14,Sinhala & Tamil New Year Day,Poya Day
2025-04-14,Sinhala & Tamil New Year Day,Mercantile
2025-04-14,Sinhala & Tamil New Year Day,Bank
2025-04-15,Additional full holiday in lieu of Day prior to Sinhala & Tamil New Year Day falling on Sunday,Bank
2025-04-18,Good Friday,Bank
2025-04-18,Good Friday,Public
2025-05-01,May Day,Public
2025-05-01,May Day,Mercantile
2025-05-01,May Day,Bank
2025-05-12,Vesak Full Moon Poya Day,Poya Day
2025-05-12,Vesak Full Moon Poya Day,Bank
2025-05-12,Vesak Full Moon Poya Day,Mercantile
2025-05-12,Vesak Full Moon Poya Day,Public
2025-05-13,Day following Vesak Full Moon Poya Day,Public
2025-05-13,Day following Vesak Full Moon Poya Day,Bank
2025-05-13,Day following Vesak Full Moon Poya Day,Mercantile
2025-06-10,Poson Full Moon Poya Day,Public
2025-06-10,Poson Full Moon Poya Day,Mercantile
2025-06-10,Poson Full Moon Poya Day,Poya Day
2025-06-10,Poson Full Moon Poya Day,Bank
2025-07-10,Esala Full Moon Poya Day,Bank
2025-07-10,Esala Full Moon Poya Day,Mercantile
2025-07-10,Esala Full Moon Poya Day,Public
2025-07-10,Esala Full Moon Poya Day,Poya Day
2025-08-10,Nikini Full Moon Poya Day,Bank
2025-08-10,Nikini Full Moon Poya Day,Public
2025-08-10,Nikini Full Moon Poya Day,Poya Day
2025-08-10,Nikini Full Moon Poya Day,Mercantile
2025-08-10,Nikini Full Moon Poya Day,Poya Day
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Mercantile
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Public
2025-09-05,Holy Prophet's Birthday (Milad-Un-Nabi),Bank
2025-09-07,Binara Full Moon Poya Day,Public
2025-09-07,Binara Full Moon Poya Day,Bank
2025-09-07,Binara Full Moon Poya Day,Mercantile
2025-10-06,Vap Full Moon Poya Day,Mercantile
2025-10-06,Vap Full Moon Poya Day,Bank
2025-10-06,Vap Full Moon Poya Day,Public
2025-10-06,Vap Full Moon Poya Day,Poya Day
2025-11-05,Ill Full Moon Poya Day,Mercantile
2025-11-05,Ill Full Moon Poya Day,Public
2025-11-05,Ill Full Moon Poya Day,Poya Day
2025-11-05,Ill Full Moon Poya Day,Bank
2025-12-04,Unduvap Full Moon Poya Day,Public
2025-12-04,Unduvap Full Moon Poya Day,Mercantile
2025-12-04,Unduvap Full Moon Poya Day,Bank
2025-12-04,Unduvap Full Moon Poya Day,Poya Day
2025-12-25,Christmas Day,Public
2025-12-25,Christmas Day,Bank
2025-12-25,Christmas Day,Mercantile
